Epoch,Train Accuracy,Train Accuracy Std,Test Accuracy,Test Accuracy Std,Loss,Loss Std
0,0.09381663113006397,0.0,0.1927,0.0,0.05651204181568963,0.0
1,0.1023454157782516,0.004264392324093813,0.2569,0.032100000000000004,0.07333932105285018,0.008413639618580274
2,0.27505330490405117,0.08349816169268724,0.3103,0.04807743753570899,0.08246902362115856,0.010751091417260316
3,0.31130063965884863,0.09843238030625662,0.3406,0.05623674843907674,0.09104245327619602,0.012795330208125757
4,0.34328358208955223,0.10601625815353044,0.3585,0.06035130487404559,0.09582742921579113,0.013960351416925023
5,0.39658848614072495,0.11596481570053005,0.3715,0.06258968010427562,0.10158205302412322,0.015102198021232825
6,0.373134328358209,0.11520626163251374,0.3902,0.06515331056478266,0.10657763288918334,0.016153086638461375
7,0.4115138592750533,0.11738582262666979,0.3944,0.0660716928324831,0.1102904118200355,0.016995401967461393
8,0.3646055437100213,0.11323537693072121,0.4027,0.06669388518438293,0.11313658453889493,0.01763450657203753
9,0.3795309168443497,0.11025103702574421,0.4115,0.06727327924220729,0.11531418499979637,0.01809728076301279
10,0.39019189765458423,0.10792785122750861,0.4161,0.0675035866815685,0.11769510476764586,0.018487409761377884
11,0.4115138592750533,0.08566060675097734,0.4215,0.04854740547663074,0.11863152271331247,0.014377287828134097
12,0.4200426439232409,0.043028102587852536,0.4253,0.035013230085094056,0.1205178269985388,0.011906439939863653
13,0.40085287846481876,0.031202180124611564,0.4254,0.027259439187066716,0.12140598233892465,0.009793575771884255
14,0.43923240938166314,0.026086611887979415,0.4249,0.021883568687771127,0.12262133712262742,0.00827209541017909
15,0.42643923240938164,0.022136378401097025,0.43,0.017670716309081336,0.12448906995403741,0.006822401333956771
16,0.42643923240938164,0.02320371738964205,0.4328,0.013789881306460952,0.1258431202821386,0.005752371243181686
17,0.44349680170575695,0.023522142150296414,0.4413,0.012933344693414691,0.12647953038530818,0.0049977911505903975
18,0.39445628997867804,0.023952673280219924,0.4273,0.010019171704931135,0.12743085996110812,0.004473480703841626
19,0.43923240938166314,0.0208407521701347,0.4318,0.007757118831240348,0.1284479430870715,0.004104513643401917
20,0.42857142857142855,0.017652917340612483,0.4366,0.00672895556347392,0.12894010564475172,0.0037521814718637957
21,0.4093816631130064,0.01542428087930046,0.4357,0.0057446058061253105,0.12955738035346398,0.003521855596064252
22,0.44989339019189767,0.0169692332841553,0.4407,0.005741842938515341,0.13034137168418625,0.0032093332228742707
23,0.42857142857142855,0.016907123463738346,0.4358,0.005415176103452679,0.13162928154028808,0.00306828353962333
24,0.44562899786780386,0.015697127227003574,0.4332,0.0048645963368671346,0.1316288319795625,0.0027608424967216897
25,0.4157782515991471,0.01590636808600787,0.4336,0.00401072941161868,0.13186429456861287,0.0023945854300419936
26,0.4541577825159915,0.017569713810621695,0.4357,0.003764756091668097,0.13181648184177971,0.0021085526215490814
27,0.44776119402985076,0.018179296898923607,0.4425,0.004260233183390259,0.13245049933952563,0.001928150553649489
