epoch,accuracy
0,0.1072
1,0.1108
2,0.1215
3,0.1261
4,0.1314
5,0.1415
6,0.1442
7,0.1445
8,0.1506
9,0.1439
10,0.1546
11,0.1592
12,0.1595
13,0.1607
14,0.1546
15,0.1585
16,0.1559
17,0.1604
18,0.1595
19,0.1624
20,0.1594
21,0.156
22,0.1627
23,0.1609
24,0.1567
25,0.1586
26,0.1604
27,0.1609
28,0.1612
29,0.1649
30,0.158
31,0.1585
32,0.1655
33,0.163
34,0.1616
35,0.158
36,0.1639
37,0.1631
38,0.1642
39,0.1584
40,0.1655
41,0.1607
42,0.1576
43,0.1576
44,0.1614
45,0.1631
46,0.1541
47,0.1657
48,0.1596
49,0.1619
50,0.1539
51,0.1624
52,0.1633
53,0.1649
54,0.1583
55,0.1631
56,0.155
57,0.1626
58,0.1553
59,0.159
60,0.1566
61,0.1604
62,0.1678
63,0.1635
64,0.1578
65,0.1582
66,0.1586
67,0.166
68,0.1611
69,0.1592
70,0.1618
71,0.1567
72,0.1665
73,0.1621
74,0.1616
75,0.1611
76,0.1608
77,0.1615
78,0.1629
79,0.1578
80,0.1571
81,0.1556
82,0.1586
83,0.1546
84,0.1568
85,0.1619
86,0.1626
87,0.1567
88,0.1606
89,0.16
90,0.1603
91,0.1626
92,0.1557
93,0.1541
94,0.1616
95,0.1652
96,0.1593
97,0.1604
98,0.1545
99,0.1576
